,datetime,amount,BANKNIFTY,NIFTY
129,2006-07-10,999170.2000000001,,
130,2006-07-11,999170.2000000001,,
131,2006-07-12,999170.2000000001,,
132,2006-07-13,999170.2000000001,,
133,2006-07-14,999170.2000000001,,
134,2006-07-17,999170.2000000001,,
135,2006-07-18,999170.2000000001,,
136,2006-07-19,999170.2000000001,,
137,2006-07-20,999170.2000000001,,
138,2006-07-21,999170.2000000001,,
139,2006-07-24,999170.2000000001,,
140,2006-07-25,999170.2000000001,,
141,2006-07-26,999170.2000000001,,
142,2006-07-27,999170.2000000001,,
143,2006-07-28,991960.6,0.0,0.0
144,2006-07-31,991960.6,-28.050000000000182,12.399999999999636
145,2006-08-01,991960.6,18.149999999999636,17.0
146,2006-08-02,991960.6,73.80000000000018,51.29999999999973
147,2006-08-03,991960.6,-11.050000000000182,59.19999999999982
148,2006-08-04,991960.6,55.649999999999636,45.94999999999982
149,2006-08-07,991960.6,187.14999999999964,20.299999999999727
150,2006-08-08,991960.6,250.25,81.59999999999991
151,2006-08-09,991960.6,291.75,123.79999999999973
152,2006-08-10,991960.6,245.84000000000015,129.29999999999973
153,2006-08-11,991960.6,250.05000000000018,143.54999999999973
154,2006-08-14,991960.6,354.3000000000002,182.29999999999973
155,2006-08-16,991960.6,331.5,225.25
156,2006-08-17,991960.6,290.5,223.0999999999999
157,2006-08-18,991960.6,367.39999999999964,225.94999999999982
158,2006-08-21,991960.6,370.89999999999964,235.19999999999982
159,2006-08-22,991960.6,316.3000000000002,233.79999999999973
160,2006-08-23,991960.6,349.5500000000002,205.0
161,2006-08-24,991960.6,416.64999999999964,239.5999999999999
162,2006-08-25,991960.6,449.59000000000015,255.14999999999964
163,2006-08-28,991960.6,483.89999999999964,270.2999999999997
164,2006-08-29,991960.6,517.5,294.89999999999964
165,2006-08-30,991960.6,516.0500000000002,299.5499999999997
166,2006-08-31,991960.6,572.0500000000002,283.0999999999999
167,2006-09-01,991960.6,618.0900000000001,304.64999999999964
168,2006-09-04,991960.6,628.0,346.0499999999997
169,2006-09-05,991960.6,611.5900000000001,342.9499999999998
170,2006-09-06,991960.6,568.5,346.4499999999998
171,2006-09-07,991960.6,579.6499999999996,323.75
172,2006-09-08,991960.6,450.09000000000015,340.64999999999964
173,2006-09-11,991960.6,552.8000000000002,235.3499999999999
174,2006-09-12,991960.6,745.0900000000001,259.0999999999999
175,2006-09-13,991960.6,817.5500000000002,323.75
176,2006-09-14,991960.6,829.3000000000002,340.7999999999997
177,2006-09-15,991960.6,846.1499999999996,347.7999999999997
178,2006-09-18,991960.6,811.6499999999996,361.9499999999998
179,2006-09-19,991960.6,820.9499999999998,326.5499999999997
180,2006-09-20,991960.6,894.1499999999996,372.0
181,2006-09-21,991960.6,855.8999999999996,422.25
182,2006-09-22,991960.6,871.0900000000001,413.25
183,2006-09-25,991960.6,982.8999999999996,392.64999999999964
184,2006-09-26,991960.6,1045.6999999999998,440.9499999999998
185,2006-09-27,991960.6,1248.8000000000002,448.5
186,2006-09-28,991960.6,1197.4499999999998,440.9499999999998
187,2006-09-29,991960.6,1186.0999999999995,457.5999999999999
188,2006-10-03,991960.6,1122.4499999999998,438.7999999999997
189,2006-10-04,991960.6,1255.8999999999996,384.5499999999997
190,2006-10-05,991960.6,1232.4499999999998,434.0999999999999
191,2006-10-06,991960.6,1213.9499999999998,438.89999999999964
192,2006-10-09,991960.6,1191.5,436.3499999999999
193,2006-10-10,991960.6,1127.5900000000001,440.25
194,2006-10-11,991960.6,1191.5999999999995,427.75
195,2006-10-12,991960.6,1223.6499999999996,490.25
196,2006-10-13,991960.6,1320.75,545.25
197,2006-10-16,991960.6,1311.3000000000002,593.1499999999996
198,2006-10-17,991960.6,1327.0500000000002,584.1999999999998
199,2006-10-18,991960.6,1256.0500000000002,579.8499999999999
200,2006-10-19,991960.6,1254.8499999999995,547.0
201,2006-10-20,991960.6,1246.75,546.0499999999997
202,2006-10-21,991960.6,1168.4499999999998,552.6999999999998
203,2006-10-23,991960.6,1381.3000000000002,526.5
204,2006-10-26,991960.6,1466.4499999999998,546.75
205,2006-10-27,991960.6,1547.6499999999996,608.5499999999997
206,2006-10-30,991960.6,1509.8999999999996,638.2999999999997
207,2006-10-31,991960.6,1544.8499999999995,613.2999999999997
208,2006-11-01,991960.6,1579.9499999999998,636.25
209,2006-11-02,991960.6,1534.3499999999995,660.3999999999996
210,2006-11-03,991960.6,1456.9499999999998,674.5499999999997
211,2006-11-07,991960.6,1512.1999999999998,667.9499999999998
